ID,Dimension_Number,Codelist
GFSMAB2016,1,CL_FREQ
GFSMAB2016,2,CL_AREA_GFSMAB2016
GFSMAB2016,3,CL_SECTOR_GFSMAB2016
GFSMAB2016,4,CL_UNIT_GFSMAB2016
GFSMAB2016,5,CL_INDICATOR_GFSMAB2016
GFSYFALCS2014,1,CL_FREQ
GFSYFALCS2014,2,CL_AREA_GFSYFALCS2014
GFSYFALCS2014,3,CL_SECTOR_GFSYFALCS2014
GFSYFALCS2014,4,CL_UNIT_GFSYFALCS2014
GFSYFALCS2014,5,CL_INDICATOR_GFSYFALCS2014
GFSYFALCS2014,6,CL_COUNTERPART_SECTOR_GFSYFALCS2014
GFSE2016,1,CL_FREQ
GFSE2016,2,CL_AREA_GFSE2016
GFSE2016,3,CL_SECTOR_GFSE2016
GFSE2016,4,CL_UNIT_GFSE2016
GFSE2016,5,CL_INDICATOR_GFSE2016
GFSIBS2016,1,CL_FREQ
GFSIBS2016,2,CL_AREA_GFSIBS2016
GFSIBS2016,3,CL_SECTOR_GFSIBS2016
GFSIBS2016,4,CL_UNIT_GFSIBS2016
GFSIBS2016,5,CL_GFS_STO_GFSIBS2016
GFSIBS2016,6,CL_INSTR_ASSET_GFSIBS2016
GFSIBS2016,7,CL_COUNTERPART_AREA_GFSIBS2016
GFSYIBS2014,1,CL_FREQ
GFSYIBS2014,2,CL_AREA_GFSYIBS2014
GFSYIBS2014,3,CL_SECTOR_GFSYIBS2014
GFSYIBS2014,4,CL_UNIT_GFSYIBS2014
GFSYIBS2014,5,CL_GFS_STO_GFSYIBS2014
GFSYIBS2014,6,CL_INSTR_ASSET_GFSYIBS2014
GFSYIBS2014,7,CL_COUNTERPART_AREA_GFSYIBS2014
GFSSSUC2016,1,CL_FREQ
GFSSSUC2016,2,CL_AREA_GFSSSUC2016
GFSSSUC2016,3,CL_SECTOR_GFSSSUC2016
GFSSSUC2016,4,CL_UNIT_GFSSSUC2016
GFSSSUC2016,5,CL_INDICATOR_GFSSSUC2016
GFSMAB2015,1,CL_FREQ
GFSMAB2015,2,CL_AREA_GFSMAB2015
GFSMAB2015,3,CL_SECTOR_GFSMAB2015
GFSMAB2015,4,CL_UNIT_GFSMAB2015
GFSMAB2015,5,CL_INDICATOR_GFSMAB2015
GFSIBS2017,1,CL_FREQ
GFSIBS2017,2,CL_AREA_GFSIBS2017
GFSIBS2017,3,CL_SECTOR_GFSIBS2017
GFSIBS2017,4,CL_UNIT_GFSIBS2017
GFSIBS2017,5,CL_GFS_STO_GFSIBS2017
GFSIBS2017,6,CL_INSTR_ASSET_GFSIBS2017
GFSIBS2017,7,CL_COUNTERPART_AREA_GFSIBS2017
GFSE2015,1,CL_FREQ
GFSE2015,2,CL_AREA_GFSE2015
GFSE2015,3,CL_SECTOR_GFSE2015
GFSE2015,4,CL_UNIT_GFSE2015
GFSE2015,5,CL_INDICATOR_GFSE2015
GFSYMAB2014,1,CL_FREQ
GFSYMAB2014,2,CL_AREA_GFSYMAB2014
GFSYMAB2014,3,CL_SECTOR_GFSYMAB2014
GFSYMAB2014,4,CL_UNIT_GFSYMAB2014
GFSYMAB2014,5,CL_INDICATOR_GFSYMAB2014
GFSR2015,1,CL_FREQ
GFSR2015,2,CL_AREA_GFSR2015
GFSR2015,3,CL_SECTOR_GFSR2015
GFSR2015,4,CL_UNIT_GFSR2015
GFSR2015,5,CL_INDICATOR_GFSR2015
GFSCOFOG2015,1,CL_FREQ
GFSCOFOG2015,2,CL_AREA_GFSCOFOG2015
GFSCOFOG2015,3,CL_SECTOR_GFSCOFOG2015
GFSCOFOG2015,4,CL_UNIT_GFSCOFOG2015
GFSCOFOG2015,5,CL_COFOG_GFSCOFOG2015
GFSMAB2017,1,CL_FREQ
GFSMAB2017,2,CL_AREA_GFSMAB2017
GFSMAB2017,3,CL_SECTOR_GFSMAB2017
GFSMAB2017,4,CL_UNIT_GFSMAB2017
GFSMAB2017,5,CL_INDICATOR_GFSMAB2017
GFSSSUC2017,1,CL_FREQ
GFSSSUC2017,2,CL_AREA_GFSSSUC2017
GFSSSUC2017,3,CL_SECTOR_GFSSSUC2017
GFSSSUC2017,4,CL_UNIT_GFSSSUC2017
GFSSSUC2017,5,CL_INDICATOR_GFSSSUC2017
GFSR2016,1,CL_FREQ
GFSR2016,2,CL_AREA_GFSR2016
GFSR2016,3,CL_SECTOR_GFSR2016
GFSR2016,4,CL_UNIT_GFSR2016
GFSR2016,5,CL_INDICATOR_GFSR2016
GFSFALCS2016,1,CL_FREQ
GFSFALCS2016,2,CL_AREA_GFSFALCS2016
GFSFALCS2016,3,CL_SECTOR_GFSFALCS2016
GFSFALCS2016,4,CL_UNIT_GFSFALCS2016
GFSFALCS2016,5,CL_INDICATOR_GFSFALCS2016
GFSFALCS2016,6,CL_COUNTERPART_SECTOR_GFSFALCS2016
GFSCOFOG2016,1,CL_FREQ
GFSCOFOG2016,2,CL_AREA_GFSCOFOG2016
GFSCOFOG2016,3,CL_SECTOR_GFSCOFOG2016
GFSCOFOG2016,4,CL_UNIT_GFSCOFOG2016
GFSCOFOG2016,5,CL_COFOG_GFSCOFOG2016
GFSYCOFOG2014,1,CL_FREQ
GFSYCOFOG2014,2,CL_AREA_GFSYCOFOG2014
GFSYCOFOG2014,3,CL_SECTOR_GFSYCOFOG2014
GFSYCOFOG2014,4,CL_UNIT_MEASURE_GFSYCOFOG2014
GFSYCOFOG2014,5,CL_COFOG_GFSYCOFOG2014
GFSYSSUC2014,1,CL_FREQ
GFSYSSUC2014,2,CL_AREA_GFSYSSUC2014
GFSYSSUC2014,3,CL_SECTOR_GFSYSSUC2014
GFSYSSUC2014,4,CL_UNIT_GFSYSSUC2014
GFSYSSUC2014,5,CL_INDICATOR_GFSYSSUC2014
GFSIBS2015,1,CL_FREQ
GFSIBS2015,2,CL_AREA_GFSIBS2015
GFSIBS2015,3,CL_SECTOR_GFSIBS2015
GFSIBS2015,4,CL_UNIT_GFSIBS2015
GFSIBS2015,5,CL_GFS_STO_GFSIBS2015
GFSIBS2015,6,CL_INSTR_ASSET_GFSIBS2015
GFSIBS2015,7,CL_COUNTERPART_AREA_GFSIBS2015
GFSFALCS2015,1,CL_FREQ
GFSFALCS2015,2,CL_AREA_GFSFALCS2015
GFSFALCS2015,3,CL_SECTOR_GFSFALCS2015
