Dimension,Code,Description
UnknownID,G21__Z,Compensation of employees
UnknownID,G23__Z,Consumption of fixed capital
UnknownID,G63_F3T4,D1 debt liabilities at market value 
UnknownID,G63_FD2,D2 debt liabilities at market value 
UnknownID,G63_FD3,D3 debt liabilities at market value 
UnknownID,G63NC_FD4,"Debt, net of highly liquid assets"
UnknownID,G2M__Z,Expenditure
UnknownID,G2__Z,Expense
UnknownID,G2G__Z,"Expense, excluding consumption of fixed capital"
UnknownID,G26__Z,Grants expense
UnknownID,G13__Z,Grants revenue
UnknownID,G63_FD4,Gross debt (D4) at market value 
UnknownID,GGOB__Z,Gross operating balance
UnknownID,G24__Z,Interest expense
UnknownID,G31_NG,Investment in nonfinancial assets
UnknownID,G32_F,Net acquisition of financial assets
UnknownID,G63N_FD4,Net debt
UnknownID,G6M2_F,Net financial worth
UnknownID,G33_F,Net incurrence of liabilities
UnknownID,GNLB__Z,Net lending (+) / Net borrowing (-)
UnknownID,GNOB__Z,Net operating balance
UnknownID,G6_F_NN,Net worth
UnknownID,G31_NN,Net/gross investment in nonfinancial assets
UnknownID,G28__Z,Other expense
UnknownID,G14__Z,Other revenue
UnknownID,GPB__Z,Primary net lending / borrowing
UnknownID,G1__Z,Revenue
UnknownID,G27__Z,Social benefits
UnknownID,G12__Z,Social contributions
UnknownID,G62_F,Stock position of financial assets
UnknownID,G63_F,Stock position of liabilities
UnknownID,G61_NN,Stock position of nonfinancial assets
UnknownID,G25__Z,Subsidies
UnknownID,G11__Z,Tax revenue
UnknownID,G22__Z,Use of goods and services
