Codelist,Variable_Name,Description
CL_AREA_GFSMAB2016,AF,Afghanistan
CL_AREA_GFSMAB2016,AL,Albania
CL_AREA_GFSMAB2016,DZ,Algeria
CL_AREA_GFSMAB2016,AO,Angola
CL_AREA_GFSMAB2016,AI,Anguilla
CL_AREA_GFSMAB2016,AG,Antigua and Barbuda
CL_AREA_GFSMAB2016,AR,Argentina
CL_AREA_GFSMAB2016,AM,Armenia
CL_AREA_GFSMAB2016,AW,Aruba
CL_AREA_GFSMAB2016,AU,Australia
CL_AREA_GFSMAB2016,AT,Austria
CL_AREA_GFSMAB2016,AZ,Azerbaijan
CL_AREA_GFSMAB2016,BS,Bahamas
CL_AREA_GFSMAB2016,BH,Bahrain
CL_AREA_GFSMAB2016,BD,Bangladesh
CL_AREA_GFSMAB2016,BB,Barbados
CL_AREA_GFSMAB2016,BY,Belarus
CL_AREA_GFSMAB2016,BE,Belgium
CL_AREA_GFSMAB2016,BZ,Belize
CL_AREA_GFSMAB2016,BJ,Benin
CL_AREA_GFSMAB2016,BT,Bhutan
CL_AREA_GFSMAB2016,BO,Bolivia
CL_AREA_GFSMAB2016,BA,Bosnia and Herzegovina
CL_AREA_GFSMAB2016,BW,Botswana
CL_AREA_GFSMAB2016,BR,Brazil
CL_AREA_GFSMAB2016,BN,Brunei Darussalam
CL_AREA_GFSMAB2016,BG,Bulgaria
CL_AREA_GFSMAB2016,BF,Burkina Faso
CL_AREA_GFSMAB2016,BI,Burundi
CL_AREA_GFSMAB2016,CV,Cape Verde
CL_AREA_GFSMAB2016,KH,Cambodia
CL_AREA_GFSMAB2016,CM,Cameroon
CL_AREA_GFSMAB2016,CA,Canada
CL_AREA_GFSMAB2016,KY,Cayman Islands
CL_AREA_GFSMAB2016,CF,Central African Republic
CL_AREA_GFSMAB2016,TD,Chad
CL_AREA_GFSMAB2016,CL,Chile
CL_AREA_GFSMAB2016,HK,"Hong Kong, China"
CL_AREA_GFSMAB2016,MO,Macao
CL_AREA_GFSMAB2016,CN,China
CL_AREA_GFSMAB2016,CO,Colombia
CL_AREA_GFSMAB2016,KM,Comoros
CL_AREA_GFSMAB2016,CD,"Congo, the Democratic Republic of the"
CL_AREA_GFSMAB2016,CG,Congo
CL_AREA_GFSMAB2016,CK,Cook Islands
CL_AREA_GFSMAB2016,CR,Costa Rica
CL_AREA_GFSMAB2016,CI,Côte d'Ivoire
CL_AREA_GFSMAB2016,HR,Croatia
CL_AREA_GFSMAB2016,1C_355,Curacao & St. Maarten
CL_AREA_GFSMAB2016,CY,Cyprus
CL_AREA_GFSMAB2016,CZ,Czech Republic
CL_AREA_GFSMAB2016,DK,Denmark
CL_AREA_GFSMAB2016,DJ,Djibouti
CL_AREA_GFSMAB2016,DM,Dominica
CL_AREA_GFSMAB2016,DO,Dominican Republic
CL_AREA_GFSMAB2016,EC,Ecuador
CL_AREA_GFSMAB2016,EG,Egypt
CL_AREA_GFSMAB2016,SV,El Salvador
CL_AREA_GFSMAB2016,GQ,Equatorial Guinea
CL_AREA_GFSMAB2016,ER,Eritrea
CL_AREA_GFSMAB2016,EE,Estonia
CL_AREA_GFSMAB2016,ET,Ethiopia
CL_AREA_GFSMAB2016,U2,Euro area (Member States and Institutions of the Euro Area) changing composition
CL_AREA_GFSMAB2016,FJ,Fiji
CL_AREA_GFSMAB2016,FI,Finland
CL_AREA_GFSMAB2016,FR,France
CL_AREA_GFSMAB2016,GA,Gabon
CL_AREA_GFSMAB2016,GM,Gambia
CL_AREA_GFSMAB2016,GE,Georgia
CL_AREA_GFSMAB2016,DE,Germany
CL_AREA_GFSMAB2016,GH,Ghana
CL_AREA_GFSMAB2016,GR,Greece
CL_AREA_GFSMAB2016,GD,Grenada
CL_AREA_GFSMAB2016,GT,Guatemala
CL_AREA_GFSMAB2016,GN,Guinea
CL_AREA_GFSMAB2016,GW,Guinea-Bissau
CL_AREA_GFSMAB2016,GY,Guyana
CL_AREA_GFSMAB2016,HT,Haiti
CL_AREA_GFSMAB2016,HN,Honduras
CL_AREA_GFSMAB2016,HU,Hungary
CL_AREA_GFSMAB2016,IS,Iceland
CL_AREA_GFSMAB2016,IN,India
CL_AREA_GFSMAB2016,ID,Indonesia
CL_AREA_GFSMAB2016,IR,"Iran, Islamic Republic of"
CL_AREA_GFSMAB2016,IQ,Iraq
CL_AREA_GFSMAB2016,IE,Ireland
CL_AREA_GFSMAB2016,IL,Israel
CL_AREA_GFSMAB2016,IT,Italy
CL_AREA_GFSMAB2016,JM,Jamaica
CL_AREA_GFSMAB2016,JP,Japan
CL_AREA_GFSMAB2016,JO,Jordan
CL_AREA_GFSMAB2016,KZ,Kazakhstan
CL_AREA_GFSMAB2016,KE,Kenya
CL_AREA_GFSMAB2016,KI,Kiribati
CL_AREA_GFSMAB2016,KR,"Korea, Republic of"
CL_AREA_GFSMAB2016,XK,Kosovo
CL_AREA_GFSMAB2016,KW,Kuwait
CL_AREA_GFSMAB2016,KG,Kyrgyzstan
CL_AREA_GFSMAB2016,LA,Lao People`s Democratic Republic
CL_AREA_GFSMAB2016,LV,Latvia
CL_AREA_GFSMAB2016,LB,Lebanon
CL_AREA_GFSMAB2016,LS,Lesotho
CL_AREA_GFSMAB2016,LR,Liberia
CL_AREA_GFSMAB2016,LY,Libya
CL_AREA_GFSMAB2016,LT,Lithuania
CL_AREA_GFSMAB2016,LU,Luxembourg
CL_AREA_GFSMAB2016,MK,"Macedonia, The Former Yugoslav Republic of"
CL_AREA_GFSMAB2016,MG,Madagascar
CL_AREA_GFSMAB2016,MW,Malawi
CL_AREA_GFSMAB2016,MY,Malaysia
CL_AREA_GFSMAB2016,MV,Maldives
CL_AREA_GFSMAB2016,ML,Mali
CL_AREA_GFSMAB2016,MT,Malta
CL_AREA_GFSMAB2016,MH,Marshall islands
CL_AREA_GFSMAB2016,MR,Mauritania
CL_AREA_GFSMAB2016,MU,Mauritius
CL_AREA_GFSMAB2016,MX,Mexico
CL_AREA_GFSMAB2016,FM,"Micronesia, Federated States of"
CL_AREA_GFSMAB2016,MD,"Moldova, Republic of"
CL_AREA_GFSMAB2016,MC,Monaco
CL_AREA_GFSMAB2016,MN,Mongolia
CL_AREA_GFSMAB2016,ME,Montenegro
CL_AREA_GFSMAB2016,MS,Montserrat
CL_AREA_GFSMAB2016,MA,Morocco
CL_AREA_GFSMAB2016,MZ,Mozambique
CL_AREA_GFSMAB2016,MM,Myanmar
CL_AREA_GFSMAB2016,NA,Namibia
CL_AREA_GFSMAB2016,NR,Nauru
CL_AREA_GFSMAB2016,NP,Nepal
CL_AREA_GFSMAB2016,NL,Netherlands
CL_AREA_GFSMAB2016,AN,Netherlands Antilles
CL_AREA_GFSMAB2016,NZ,New Zealand
CL_AREA_GFSMAB2016,NI,Nicaragua
CL_AREA_GFSMAB2016,NE,Niger
CL_AREA_GFSMAB2016,NG,Nigeria
CL_AREA_GFSMAB2016,NO,Norway
CL_AREA_GFSMAB2016,OM,Oman
CL_AREA_GFSMAB2016,PK,Pakistan
CL_AREA_GFSMAB2016,PW,Palau
CL_AREA_GFSMAB2016,PA,Panama
CL_AREA_GFSMAB2016,PG,Papua New Guinea
CL_AREA_GFSMAB2016,PY,Paraguay
CL_AREA_GFSMAB2016,PE,Peru
CL_AREA_GFSMAB2016,PH,Philippines
CL_AREA_GFSMAB2016,PL,Poland
CL_AREA_GFSMAB2016,PT,Portugal
CL_AREA_GFSMAB2016,QA,Qatar
CL_AREA_GFSMAB2016,RO,Romania
CL_AREA_GFSMAB2016,RU,Russian Federation
CL_AREA_GFSMAB2016,RW,Rwanda
CL_AREA_GFSMAB2016,WS,Samoa
CL_AREA_GFSMAB2016,SM,San Marino
CL_AREA_GFSMAB2016,ST,Sao Tome and Principe
CL_AREA_GFSMAB2016,SA,Saudi Arabia
CL_AREA_GFSMAB2016,SN,Senegal
CL_AREA_GFSMAB2016,CS,Serbia and Montenegro
CL_AREA_GFSMAB2016,RS,Serbia
CL_AREA_GFSMAB2016,SC,Seychelles
CL_AREA_GFSMAB2016,SL,Sierra Leone
CL_AREA_GFSMAB2016,SG,Singapore
CL_AREA_GFSMAB2016,SK,Slovakia
CL_AREA_GFSMAB2016,SI,Slovenia
CL_AREA_GFSMAB2016,SB,Solomon Islands
CL_AREA_GFSMAB2016,SO,Somalia
CL_AREA_GFSMAB2016,ZA,South Africa
CL_AREA_GFSMAB2016,SS,South Sudan
CL_AREA_GFSMAB2016,ES,Spain
CL_AREA_GFSMAB2016,LK,Sri Lanka
CL_AREA_GFSMAB2016,KN,Saint Kitts and Nevis
CL_AREA_GFSMAB2016,LC,Saint Lucia
CL_AREA_GFSMAB2016,VC,Saint Vincent and the Grenadines
CL_AREA_GFSMAB2016,SD,Sudan
CL_AREA_GFSMAB2016,SR,Suriname
CL_AREA_GFSMAB2016,SZ,Swaziland
CL_AREA_GFSMAB2016,SE,Sweden
CL_AREA_GFSMAB2016,CH,Switzerland
CL_AREA_GFSMAB2016,SY,Syrian Arab Republic
CL_AREA_GFSMAB2016,TJ,Tajikistan
CL_AREA_GFSMAB2016,TZ,"Tanzania, United Republic of"
CL_AREA_GFSMAB2016,TH,Thailand
CL_AREA_GFSMAB2016,TL,Timor-Leste
CL_AREA_GFSMAB2016,TG,Togo
CL_AREA_GFSMAB2016,TO,Tonga
CL_AREA_GFSMAB2016,TT,Trinidad and Tobago
CL_AREA_GFSMAB2016,TN,Tunisia
CL_AREA_GFSMAB2016,TR,Turkey
CL_AREA_GFSMAB2016,TM,Turkmenistan
CL_AREA_GFSMAB2016,TV,Tuvalu
CL_AREA_GFSMAB2016,UG,Uganda
CL_AREA_GFSMAB2016,UA,Ukraine
CL_AREA_GFSMAB2016,AE,United Arab Emirates
CL_AREA_GFSMAB2016,GB,United Kingdom
CL_AREA_GFSMAB2016,US,United States
CL_AREA_GFSMAB2016,UY,Uruguay
CL_AREA_GFSMAB2016,UZ,Uzbekistan
CL_AREA_GFSMAB2016,VU,Vanuatu
CL_AREA_GFSMAB2016,VE,"Venezuela, Bolivarian Republic"
CL_AREA_GFSMAB2016,VN,Viet Nam
CL_AREA_GFSMAB2016,PS,"Palestine, State of"
CL_AREA_GFSMAB2016,1C_473,Yemen Arab Rep.
CL_AREA_GFSMAB2016,YE,Yemen
CL_AREA_GFSMAB2016,ZM,Zambia
CL_AREA_GFSMAB2016,ZW,Zimbabwe
CL_AREA_GFSMAB2016,1C_AAA,AAA
CL_AREA_GFSMAB2016,1C_ALLC,All Countries
CL_AREA_GFSMAB2016,1C_ALL,All Countries and Country Groups
CL_AREA_GFSMAB2016,1C_Al_Countries_for_Dissemination_Online,All Countries for Dissemination - Online
CL_AREA_GFSMAB2016,1C_GFSY_2014_Country_Pages,All Countries for Dissemination - Print
CL_AREA_GFSMAB2016,1C_ALLG,All Country Groups
CL_AREA_GFSMAB2016,1C_Template_I,Template I
CL_AREA_GFSMAB2016,1C_Template_II,Template II
CL_AREA_GFSMAB2016,1C_Template_III,Template III
CL_AREA_GFSMAB2016,1C_Template_IV,Template IV
CL_AREA_GFSMAB2016,1C_All_Countries_for_Dissemination,All Countries for Dissemination
CL_SECTOR_GFSMAB2016,S1311B,Budgetary central government
CL_SECTOR_GFSMAB2016,S1311,Central government (excl. social security funds)
CL_SECTOR_GFSMAB2016,S1321,Central government (incl. social security funds)
CL_SECTOR_GFSMAB2016,S13112,Extrabudgetary central government
CL_SECTOR_GFSMAB2016,S13,General government
CL_SECTOR_GFSMAB2016,S1313,Local governments
CL_SECTOR_GFSMAB2016,S1314,Social security funds
CL_SECTOR_GFSMAB2016,S1312,State governments
CL_UNIT_GFSMAB2016,XDC,Domestic currency
CL_UNIT_GFSMAB2016,XDC_R_B1GQ,Percent of GDP
CL_INDICATOR_GFSMAB2016,G21__Z,Compensation of employees
CL_INDICATOR_GFSMAB2016,G23__Z,Consumption of fixed capital
CL_INDICATOR_GFSMAB2016,G63_F3T4,D1 debt liabilities at market value 
CL_INDICATOR_GFSMAB2016,G63_FD2,D2 debt liabilities at market value 
CL_INDICATOR_GFSMAB2016,G63_FD3,D3 debt liabilities at market value 
CL_INDICATOR_GFSMAB2016,G63NC_FD4,"Debt, net of highly liquid assets"
CL_INDICATOR_GFSMAB2016,G2M__Z,Expenditure
CL_INDICATOR_GFSMAB2016,G2__Z,Expense
CL_INDICATOR_GFSMAB2016,G2G__Z,"Expense, excluding consumption of fixed capital"
CL_INDICATOR_GFSMAB2016,G26__Z,Grants expense
CL_INDICATOR_GFSMAB2016,G13__Z,Grants revenue
CL_INDICATOR_GFSMAB2016,G63_FD4,Gross debt (D4) at market value 
CL_INDICATOR_GFSMAB2016,GGOB__Z,Gross operating balance
CL_INDICATOR_GFSMAB2016,G24__Z,Interest expense
CL_INDICATOR_GFSMAB2016,G31_NG,Investment in nonfinancial assets
CL_INDICATOR_GFSMAB2016,G32_F,Net acquisition of financial assets
CL_INDICATOR_GFSMAB2016,G63N_FD4,Net debt
CL_INDICATOR_GFSMAB2016,G6M2_F,Net financial worth
CL_INDICATOR_GFSMAB2016,G33_F,Net incurrence of liabilities
CL_INDICATOR_GFSMAB2016,GNLB__Z,Net lending (+) / Net borrowing (-)
CL_INDICATOR_GFSMAB2016,GNOB__Z,Net operating balance
CL_INDICATOR_GFSMAB2016,G6_F_NN,Net worth
CL_INDICATOR_GFSMAB2016,G31_NN,Net/gross investment in nonfinancial assets
CL_INDICATOR_GFSMAB2016,G28__Z,Other expense
