Country Name,Country Code,"Stocks, Transactions, and Other Flows Name","Stocks, Transactions, and Other Flows Code",Sector Name,Sector Code,Unit Name,Unit Code,Residence Name,Residence Code,Instrument and Assets Classification Name,Instrument and Assets Classification Code,Attribute,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Indicator Code,Global DSD Time Series Code,Unnamed: 64
"Afghanistan, Islamic Rep. of",512,Net incurrence of liabilities,G33,Budgetary central government,S1311B,Domestic currency,XDC,Total,W0|S1,Total financial assets/liabilities ,F,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4586693049.36675,9969230676.18,5672711734.70811,9728024059.3,11301270416.44,10905274567.62,7713152426.5,7124797980.56,14473624208.2,28741461239.47,-25038124026,2608103978.81,5434575673.55,2377516045.48,5169227967.17,,,,GADL_T_G14_XDC,A|AF|S1311B|W0|S1|G33|F|_Z|_Z|XDC|_T|_X,
Albania,914,Net incurrence of liabilities,G33,Budgetary central government,S1311B,Domestic currency,XDC,Total,W0|S1,Total financial assets/liabilities ,F,Value,,,,,,,,,,,,,,,,,,,,,,,,21367000000,35715807000,44093370000,43181270000,,,,,,,,,,,,,52295060000,56283260000,80113980000,46757790000,48044580000,44842950000,43153780000,56017360000,16195440000,,GADL_T_G14_XDC,A|AL|S1311B|W0|S1|G33|F|_Z|_Z|XDC|_T|_X,
Algeria,612,Net incurrence of liabilities,G33,Budgetary central government,S1311B,Domestic currency,XDC,Total,W0|S1,Total financial assets/liabilities ,F,Value,,,,,,,,,,,,,,,,,,,,,,,21353000000,24292000000,-77312000000,,,,-78705999999.9999,-74700000000,7099999999.99999,-101179000000,116148000000,32618000000,41130000000,-587770000000,119300000000,601895092399.14,602500000000,493844000000,,,,,,,,,,GADL_T_G14_XDC,A|DZ|S1311B|W0|S1|G33|F|_Z|_Z|XDC|_T|_X,
Angola,614,Net incurrence of liabilities,G33,Budgetary central government,S1311B,Domestic currency,XDC,Total,W0|S1,Total financial assets/liabilities ,F,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,-159297522.8,-14203183393,-8644066654,8821800614,156854000000,-4487850702,2882989485,-42184247156,129640000000,79440044054,106046000000,-196356000000,-175316000000,-172170000000,364325000000,762192761082.06,928198990072.259,3263299826654.83,4137992887233.07,,,,GADL_T_G14_XDC,A|AO|S1311B|W0|S1|G33|F|_Z|_Z|XDC|_T|_X,
Anguilla,312,Net incurrence of liabilities,G33,Budgetary central government,S1311B,Domestic currency,XDC,Total,W0|S1,Total financial assets/liabilities ,F,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10761562,10106984,-592718.999999999,-5678186,25226762.44,15997497.14,-30576754,34346455,29742632,59520290,-62941810,-7512200.92,-7593354.48,-9187559.71000001,-9571119.72999999,,,,,,,GADL_T_G14_XDC,A|AI|S1311B|W0|S1|G33|F|_Z|_Z|XDC|_T|_X,
Antigua and Barbuda,311,Net incurrence of liabilities,G33,Budgetary central government,S1311B,Domestic currency,XDC,Total,W0|S1,Total financial assets/liabilities ,F,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119223253,181603850,214301617,132773906,51253726,-472747810,8557970.99999998,123074148.6,292419928,308443497.77,-1201749820,75015559.67,-73453624.93,35427424.37,-43615409.589,,,,,,,GADL_T_G14_XDC,A|AG|S1311B|W0|S1|G33|F|_Z|_Z|XDC|_T|_X,
Argentina,213,Net incurrence of liabilities,G33,Budgetary central government,S1311B,Domestic currency,XDC,Total,W0|S1,Total financial assets/liabilities ,F,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8483700000,22510887550.17,8626976083.82,,,,,,,,,,224816400000,243477800000,676976700000,841526300000,1666244200000,241094384070.68,,GADL_T_G14_XDC,A|AR|S1311B|W0|S1|G33|F|_Z|_Z|XDC|_T|_X,
"Armenia, Rep. of",911,Net incurrence of liabilities,G33,Budgetary central government,S1311B,Domestic currency,XDC,Total,W0|S1,Total financial assets/liabilities ,F,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40341527711,40451169082.8,19585134863.48,33090017639,64710507852,68759800717,431534439390,124711826400,106778415383.56,119791000000,143224423671.8,83764546590,316804633570,409387352290,278726925500,203175860643.1,233780383970.237,,GADL_T_G14_XDC,A|AM|S1311B|W0|S1|G33|F|_Z|_Z|XDC|_T|_X,
Australia,193,Net incurrence of liabilities,G33,Budgetary central government,S1311B,Domestic currency,XDC,Total,W0|S1,Total financial assets/liabilities ,F,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,805000000,-1525000000,1255000000,3037000000,56303000000,51711000000,53441000000,51589000000,36657000000,58871000000,60893000000,58739000000,89438000000,28706000000,17503000000,,GADL_T_G14_XDC,A|AU|S1311B|W0|S1|G33|F|_Z|_Z|XDC|_T|_X,
Austria,122,Net incurrence of liabilities,G33,Budgetary central government,S1311B,Domestic currency,XDC,Total,W0|S1,Total financial assets/liabilities ,F,Value,,,,,,,,,,,,,,,,,,,4528971025.34102,5592174589.2168,3523179000.45784,6747672652.48577,8689490781.45099,,,,,,,,,,,,,,,,,,,,,,,,,,,GADL_T_G14_XDC,A|AT|S1311B|W0|S1|G33|F|_Z|_Z|XDC|_T|_X,
"Azerbaijan, Rep. of",912,Net incurrence of liabilities,G33,Budgetary central government,S1311B,Domestic currency,XDC,Total,W0|S1,Total financial assets/liabilities ,F,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6300000,-126000000,53200000,-282600000,-76300000,-940700000,705500000,-530500000,-1187100000,-1158800000,-1641100000,-1123000000,,GADL_T_G14_XDC,A|AZ|S1311B|W0|S1|G33|F|_Z|_Z|XDC|_T|_X,
"Bahamas, The",313,Net incurrence of liabilities,G33,Budgetary central government,S1311B,Domestic currency,XDC,Total,W0|S1,Total financial assets/liabilities ,F,Value,,,,,,,,,,,,,,,,,,,96900000,105100000,73200000,84400000,50500000,14600000,79400000,149602000,69817000,48918000,22300000,73000000,145600000,226500000,206352000,178029000,192649000,273410000,260000000,392994000,316250000,153647000,351132000,781292000,467543000,506247000,344196000,580306685.68,684380392.327525,293052665.69,,GADL_T_G14_XDC,A|BS|S1311B|W0|S1|G33|F|_Z|_Z|XDC|_T|_X,
"Bahrain, Kingdom of",419,Net incurrence of liabilities,G33,Budgetary central government,S1311B,Domestic currency,XDC,Total,W0|S1,Total financial assets/liabilities ,F,Value,,,,,,,,,,,,,,,,,,,2799999.99999999,167900000,158900000,41200000,129200000,63500000,110700000,68800000,92400000,165400000,165400000,26900000,-54600000,133900000,-191900000,-260000,43550000,134930000,166480000,664090000,1021130000,820813649.8,644349616.82,1293340000,252200000,1739000000,1560800000,1875000000,1724000000,1353000000,,GADL_T_G14_XDC,A|BH|S1311B|W0|S1|G33|F|_Z|_Z|XDC|_T|_X,
